collision,num_safety_violations,unsafe_lane_change_attempts,lane_change_executed,final_lane,min_distance_front,mean_speed,total_reward,method,scenario,seed
False,71,0,True,1,9.475704987414417,15.204333333333404,-314.66999999999786,Baseline,blocked_by_front,0
False,69,0,True,1,10.231922684670224,15.876333333333411,-273.5099999999977,Baseline,blocked_by_front,1
False,60,0,True,1,2.3642996539788896,12.823333333333364,-268.1999999999991,Baseline,blocked_by_front,2
False,59,0,True,1,10.222021637151187,15.139000000000069,-194.22999999999791,Baseline,blocked_by_front,3
False,57,0,True,1,3.2879765121391955,13.2316666666667,-225.34999999999903,Baseline,blocked_by_front,4
False,72,0,True,1,9.572535879341785,15.638333333333406,-311.6499999999978,Baseline,blocked_by_front,5
False,59,0,True,1,2.895895161857169,12.826000000000032,-258.11999999999904,Baseline,blocked_by_front,6
False,60,0,True,1,10.259585620893745,15.24500000000007,-201.1499999999979,Baseline,blocked_by_front,7
False,68,0,True,1,10.038099892580533,15.24900000000007,-282.729999999998,Baseline,blocked_by_front,8
False,68,0,True,1,10.219731578982362,15.267666666666736,-282.5699999999979,Baseline,blocked_by_front,9
False,61,0,True,1,2.20969913336576,12.557666666666698,-286.36999999999904,Baseline,blocked_by_front,10
False,75,0,True,1,9.18267947287552,15.653333333333405,-341.59999999999786,Baseline,blocked_by_front,11
False,67,0,True,1,10.313182278346133,15.600666666666738,-261.1799999999978,Baseline,blocked_by_front,12
False,65,0,True,1,10.306662588201092,15.03600000000007,-259.019999999998,Baseline,blocked_by_front,13
False,66,0,True,1,9.756935404775632,15.065000000000067,-267.949999999998,Baseline,blocked_by_front,14
True,31,0,False,0,1.9370253236579487,17.482000000000014,-337.68999999999994,Baseline,blocked_by_front,15
True,33,0,False,0,1.9375227508523665,17.388235294117663,-356.81999999999994,Baseline,blocked_by_front,16
False,58,0,True,1,2.684748020578226,13.161000000000032,-237.369999999999,Baseline,blocked_by_front,17
False,78,0,True,1,8.728420481499029,15.868333333333409,-366.1499999999977,Baseline,blocked_by_front,18
False,63,0,True,1,10.354403644088052,15.057666666666737,-237.7699999999979,Baseline,blocked_by_front,19
False,75,0,True,1,9.21206360908468,15.872000000000074,-334.83999999999764,Baseline,blocked_by_front,20
False,55,0,True,1,3.535831316599044,13.372666666666701,-200.81999999999903,Baseline,blocked_by_front,21
False,71,0,True,1,9.580590244733287,15.182000000000073,-315.8399999999978,Baseline,blocked_by_front,22
False,77,0,True,1,8.782282382626306,15.225333333333404,-375.73999999999796,Baseline,blocked_by_front,23
False,70,0,True,1,9.843083790950573,14.981666666666733,-311.24999999999795,Baseline,blocked_by_front,24
True,30,0,False,0,1.8905944054311732,17.57551020408165,-328.5799999999999,Baseline,blocked_by_front,25
False,67,0,True,1,10.264313082749268,15.386333333333404,-268.50999999999783,Baseline,blocked_by_front,26
False,63,0,True,1,10.623387705480539,15.425333333333407,-226.1399999999978,Baseline,blocked_by_front,27
False,67,0,True,1,10.379290312847871,15.576000000000073,-262.2199999999978,Baseline,blocked_by_front,28
False,62,0,True,1,10.770956663156063,15.377333333333409,-216.77999999999778,Baseline,blocked_by_front,29
False,60,0,True,1,2.6603284214473035,12.635333333333366,-274.1399999999991,Baseline,blocked_by_front,30
False,66,0,True,1,10.077158960831895,14.796666666666733,-276.19999999999806,Baseline,blocked_by_front,31
False,68,0,True,1,10.458768353931532,15.64200000000007,-270.83999999999776,Baseline,blocked_by_front,32
False,69,0,True,1,9.789266378938514,15.52100000000007,-284.5699999999978,Baseline,blocked_by_front,33
False,56,0,True,1,10.7074256573949,15.397666666666737,-155.46999999999784,Baseline,blocked_by_front,34
False,58,0,True,1,2.917120612341023,13.152000000000031,-237.53999999999903,Baseline,blocked_by_front,35
False,58,0,True,1,2.5893182105559873,13.145333333333365,-237.73999999999901,Baseline,blocked_by_front,36
False,62,0,True,1,10.53635559050366,15.159666666666737,-224.20999999999788,Baseline,blocked_by_front,37
False,75,0,True,1,8.954844232552375,15.77200000000008,-337.53999999999775,Baseline,blocked_by_front,38
False,65,0,True,1,10.604923309636149,15.906000000000077,-231.71999999999778,Baseline,blocked_by_front,39
