collision,num_safety_violations,unsafe_lane_change_attempts,lane_change_executed,final_lane,min_distance_front,mean_speed,total_reward,method,scenario,seed
True,26,0,True,1,1.8170136707281017,23.995575221239008,-106.94999999999922,Baseline,safe_overtake,0
True,29,0,True,1,1.795070960030273,24.025000000000066,-130.70999999999918,Baseline,safe_overtake,1
True,25,0,True,1,1.8135890775797066,23.833027522935843,-107.61999999999928,Baseline,safe_overtake,2
True,26,0,True,1,1.626454228011255,23.963716814159362,-107.20999999999924,Baseline,safe_overtake,3
True,29,0,True,1,1.790381388684466,23.959829059829126,-128.96999999999917,Baseline,safe_overtake,4
True,28,0,True,1,1.7183389080234974,23.95391304347833,-123.42999999999921,Baseline,safe_overtake,5
True,27,0,True,1,1.7450426244208757,24.06551724137938,-109.43999999999919,Baseline,safe_overtake,6
True,26,0,True,1,1.6530215983891026,24.024561403508837,-104.21999999999922,Baseline,safe_overtake,7
True,26,0,True,1,1.8438886226760474,24.05614035087726,-103.9599999999992,Baseline,safe_overtake,8
True,26,0,True,1,1.9948754141772156,24.016216216216282,-111.01999999999926,Baseline,safe_overtake,9
True,27,0,True,1,1.7121180727759224,23.975438596491298,-115.17999999999921,Baseline,safe_overtake,10
True,30,0,True,1,1.8553443763701125,23.9694915254238,-136.95999999999916,Baseline,safe_overtake,11
True,29,0,True,1,1.9396947914706857,23.959829059829126,-128.96999999999917,Baseline,safe_overtake,12
True,25,0,True,1,1.6156469476276243,23.940909090909155,-103.74999999999926,Baseline,safe_overtake,13
True,25,0,True,1,1.929813136212715,23.893636363636432,-104.66999999999926,Baseline,safe_overtake,14
True,25,0,True,1,1.9972796373330652,23.893636363636432,-104.66999999999926,Baseline,safe_overtake,15
True,27,0,True,1,1.8727346390086836,23.94298245614042,-115.44999999999924,Baseline,safe_overtake,16
True,28,0,True,1,1.7810220651874715,23.92086956521746,-123.70999999999921,Baseline,safe_overtake,17
True,32,0,True,1,1.8913172053807443,23.883333333333404,-153.89999999999912,Baseline,safe_overtake,18
True,25,0,True,1,1.7853119478534722,24.07433628318591,-95.75999999999922,Baseline,safe_overtake,19
True,31,0,True,1,1.793603056564848,23.93559322033905,-147.25999999999917,Baseline,safe_overtake,20
True,26,0,True,1,1.6206303198483738,23.963716814159362,-107.20999999999924,Baseline,safe_overtake,21
True,27,0,True,1,1.6384197589840142,23.97522123893812,-117.47999999999922,Baseline,safe_overtake,22
True,27,0,True,1,1.9547542914505698,23.914159292035464,-118.16999999999925,Baseline,safe_overtake,23
True,26,0,True,1,1.63789910120164,24.014285714285784,-108.73999999999923,Baseline,safe_overtake,24
True,28,0,True,1,1.845683895911577,24.06551724137938,-119.43999999999919,Baseline,safe_overtake,25
True,27,0,True,1,1.9333507956680478,23.975438596491298,-115.17999999999921,Baseline,safe_overtake,26
True,27,0,True,1,1.7058721172647893,24.08521739130442,-111.21999999999919,Baseline,safe_overtake,27
True,28,0,True,1,1.9462367694129057,23.982758620689722,-120.69999999999919,Baseline,safe_overtake,28
True,27,0,True,1,1.6815220346858837,24.145689655172482,-108.2099999999992,Baseline,safe_overtake,29
True,28,0,True,1,1.7737465722911452,23.92086956521746,-123.70999999999921,Baseline,safe_overtake,30
True,25,0,True,1,1.8182811032255586,23.95405405405412,-101.70999999999927,Baseline,safe_overtake,31
True,27,0,True,1,1.7927092352649083,23.975438596491298,-115.17999999999921,Baseline,safe_overtake,32
True,26,0,True,1,1.897565943960899,23.922522522522588,-111.95999999999925,Baseline,safe_overtake,33
True,25,0,True,1,1.8126572154041583,24.016216216216282,-101.01999999999924,Baseline,safe_overtake,34
True,30,0,True,1,1.896355309001592,23.897413793103517,-141.9899999999992,Baseline,safe_overtake,35
True,27,0,True,1,1.786563378680512,23.790990990991055,-124.11999999999925,Baseline,safe_overtake,36
True,26,0,True,1,1.9456925335719006,24.05614035087726,-103.9599999999992,Baseline,safe_overtake,37
True,30,0,True,1,1.9998034723001297,24.09416666666674,-130.8699999999991,Baseline,safe_overtake,38
True,28,0,True,1,1.6968923768006903,24.076923076923148,-117.39999999999918,Baseline,safe_overtake,39
True,26,0,True,1,1.9303563924270861,23.995575221239008,-106.94999999999922,Baseline,safe_overtake,40
True,28,0,True,1,1.7374845151619525,23.85877192982463,-126.70999999999921,Baseline,safe_overtake,41
True,26,0,True,1,1.7709884269323197,23.995575221239008,-106.94999999999922,Baseline,safe_overtake,42
True,26,0,True,1,1.883742998365733,24.089380530973518,-105.98999999999921,Baseline,safe_overtake,43
True,27,0,True,1,1.85024116336524,23.914159292035464,-118.16999999999925,Baseline,safe_overtake,44
True,26,0,True,1,1.787888379580636,23.812727272727336,-115.85999999999927,Baseline,safe_overtake,45
True,26,0,True,1,1.6355632216115055,23.995575221239008,-106.94999999999922,Baseline,safe_overtake,46
True,30,0,True,1,1.8719263059205105,23.872649572649642,-140.2899999999992,Baseline,safe_overtake,47
True,28,0,True,1,1.7488524096821152,23.92086956521746,-123.70999999999921,Baseline,safe_overtake,48
True,27,0,True,1,1.7483508047088208,24.08521739130442,-111.21999999999919,Baseline,safe_overtake,49
False,59,0,True,1,3.612868690336825,18.438500000000094,-100.11999999999722,Safety-filtered,safe_overtake,0
False,55,0,True,1,4.405775349942758,19.139333333333433,-37.09499999999704,Safety-filtered,safe_overtake,1
False,61,0,True,1,2.6467323879494984,17.95383333333342,-135.70999999999734,Safety-filtered,safe_overtake,2
False,60,0,True,1,3.17400729701302,18.20100000000009,-117.66999999999732,Safety-filtered,safe_overtake,3
False,56,0,True,1,4.8848603868972305,18.8080000000001,-57.659999999997126,Safety-filtered,safe_overtake,4
False,56,0,True,1,4.221233266581123,18.708333333333428,-61.14999999999702,Safety-filtered,safe_overtake,5
False,57,0,True,1,4.118370191829058,18.77633333333343,-69.23499999999709,Safety-filtered,safe_overtake,6
False,59,0,True,1,3.3783558313028834,18.361333333333427,-102.7349999999972,Safety-filtered,safe_overtake,7
False,59,0,True,1,3.6856490671786446,18.528666666666762,-97.41499999999706,Safety-filtered,safe_overtake,8
False,59,0,True,1,3.4212516582591093,18.276666666666756,-105.3749999999973,Safety-filtered,safe_overtake,9
False,58,0,True,1,3.956154948736753,18.50816666666676,-87.90499999999719,Safety-filtered,safe_overtake,10
False,56,0,True,1,5.210278535949101,19.021666666666768,-51.049999999997,Safety-filtered,safe_overtake,11
False,56,0,True,1,4.979435464640119,18.8080000000001,-57.659999999997126,Safety-filtered,safe_overtake,12
False,60,0,True,1,2.5232984152635822,18.153333333333425,-119.19999999999737,Safety-filtered,safe_overtake,13
False,61,0,True,1,2.8245757597351826,17.92833333333342,-136.4749999999974,Safety-filtered,safe_overtake,14
False,59,0,True,1,3.4178356053262178,18.302833333333425,-104.28999999999729,Safety-filtered,safe_overtake,15
False,57,0,True,1,4.160618543982821,18.554333333333428,-75.79499999999726,Safety-filtered,safe_overtake,16
False,56,0,True,1,4.5403894419371795,18.86066666666676,-55.77999999999716,Safety-filtered,safe_overtake,17
False,54,0,True,1,5.778518789387022,19.282166666666765,-22.08499999999708,Safety-filtered,safe_overtake,18
False,60,0,True,1,2.97463335160694,18.274000000000093,-115.9799999999972,Safety-filtered,safe_overtake,19
False,54,0,True,1,5.2740966959649995,19.282166666666765,-22.08499999999708,Safety-filtered,safe_overtake,20
False,60,0,True,1,3.2667964930082576,18.244666666666756,-116.45999999999731,Safety-filtered,safe_overtake,21
False,57,0,True,1,3.973268752653553,18.607500000000094,-74.39999999999722,Safety-filtered,safe_overtake,22
False,59,0,True,1,3.4868549798918593,18.493000000000094,-98.08499999999714,Safety-filtered,safe_overtake,23
False,60,0,True,1,2.8095751834803195,18.275333333333425,-115.53999999999724,Safety-filtered,safe_overtake,24
False,57,0,True,1,4.129014515054962,18.77633333333343,-69.23499999999709,Safety-filtered,safe_overtake,25
False,57,0,True,1,4.032648329147776,18.63816666666676,-73.37999999999704,Safety-filtered,safe_overtake,26
False,59,0,True,1,3.5941737236954054,18.588500000000096,-95.61999999999716,Safety-filtered,safe_overtake,27
False,56,0,True,1,4.693478125027923,18.852333333333434,-56.42999999999708,Safety-filtered,safe_overtake,28
False,59,0,True,1,3.545386406831142,18.63566666666676,-94.10499999999712,Safety-filtered,safe_overtake,29
False,57,0,True,1,4.424566211452657,18.554333333333428,-75.79499999999726,Safety-filtered,safe_overtake,30
False,63,0,True,1,2.1997622847637786,17.885666666666754,-158.5049999999973,Safety-filtered,safe_overtake,31
False,57,0,True,1,4.127075988406602,18.76833333333343,-69.17499999999711,Safety-filtered,safe_overtake,32
False,59,0,True,1,3.2885329269107615,18.318000000000094,-103.73499999999734,Safety-filtered,safe_overtake,33
False,59,0,True,1,3.2865581095863377,18.41566666666676,-100.90499999999724,Safety-filtered,safe_overtake,34
False,54,0,True,1,5.083724780102841,19.100166666666762,-27.944999999997037,Safety-filtered,safe_overtake,35
False,59,0,True,1,3.5921666745657603,18.241666666666756,-105.92499999999725,Safety-filtered,safe_overtake,36
False,61,0,True,1,2.881434454014311,18.39216666666676,-122.25999999999709,Safety-filtered,safe_overtake,37
False,56,0,True,1,5.069657632763153,19.26533333333343,-43.439999999996985,Safety-filtered,safe_overtake,38
False,56,0,True,1,4.416151352535337,19.108333333333434,-48.44999999999692,Safety-filtered,safe_overtake,39
False,59,0,True,1,3.6984946663057485,18.438500000000094,-100.11999999999722,Safety-filtered,safe_overtake,40
False,55,0,True,1,4.601543343800017,18.84533333333343,-46.11499999999717,Safety-filtered,safe_overtake,41
False,59,0,True,1,3.4815803399300194,18.438500000000094,-100.11999999999722,Safety-filtered,safe_overtake,42
False,58,0,True,1,3.799957488239727,18.700500000000094,-81.83499999999717,Safety-filtered,safe_overtake,43
False,57,0,True,1,4.122030701777817,18.58450000000009,-75.08999999999722,Safety-filtered,safe_overtake,44
False,58,0,True,1,3.7887501891169677,18.381166666666758,-91.41499999999726,Safety-filtered,safe_overtake,45
False,59,0,True,1,3.4836501367351502,18.438500000000094,-100.11999999999722,Safety-filtered,safe_overtake,46
False,55,0,True,1,5.288790619032454,19.028500000000097,-40.21999999999713,Safety-filtered,safe_overtake,47
False,57,0,True,1,4.383104127073466,18.554333333333428,-75.79499999999726,Safety-filtered,safe_overtake,48
False,59,0,True,1,3.555347233442376,18.588500000000096,-95.61999999999716,Safety-filtered,safe_overtake,49
