step,time,x_ego,v_ego,lane_ego,x_slow,v_slow,lane_slow,x_side,v_side,lane_side,distance_front,safe_distance,front_gap_target,rear_gap_target,collision,safety_violation,unsafe_lane_change_attempt,lane_change_executed,a_ego,reward,a_nom,lane_cmd_nom,lane_cmd,use_safety_filter,scenario
1,0.1,2.0100000000000002,20.1,0,31.199170220047026,11.991702200470257,0,19.602203244934422,16.022032449344216,1,29.189170220047025,15.05,17.59220324493442,999.0,False,False,False,False,1.0,1.9100000000000001,1.0,0,0,False,blocked_by_front
2,0.2,4.030000000000001,20.200000000000003,0,32.39334158384223,11.941713637951992,0,21.202429815595163,16.0022657066074,1,28.363341583842228,15.100000000000001,17.172429815595162,999.0,False,False,False,False,1.0,1.9200000000000004,1.0,0,0,False,blocked_by_front
3,0.30000000000000004,6.060000000000002,20.300000000000004,0,33.5839805065456,11.906389227033703,0,22.798579772203592,15.96149956608428,1,27.5239805065456,15.150000000000002,16.73857977220359,999.0,False,False,False,False,1.0,1.9300000000000006,1.0,0,0,False,blocked_by_front
4,0.4,8.090000000000003,20.300000000000004,0,34.771482031362744,11.87501524817147,0,24.39318533608245,15.946055638788584,1,26.68148203136274,15.150000000000002,16.303185336082446,999.0,False,False,False,False,0.0,2.0300000000000007,0.0,0,0,False,blocked_by_front
5,0.5,10.120000000000005,20.300000000000004,0,35.9579512309222,11.864691995594537,0,25.988179067301342,15.94993731218892,1,25.837951230922194,15.150000000000002,15.868179067301337,999.0,False,False,False,False,0.0,2.0300000000000007,0.0,0,0,False,blocked_by_front
6,0.6000000000000001,12.150000000000006,20.300000000000004,0,37.143612375625686,11.856611447034867,0,27.5850249935242,15.968459262228595,1,24.99361237562568,15.150000000000002,15.435024993524195,999.0,False,False,False,False,0.0,2.0300000000000007,0.0,0,0,False,blocked_by_front
7,0.7000000000000001,14.180000000000007,20.300000000000004,1,38.326318042826486,11.827056672008018,0,29.18565209411097,16.00627100586769,1,15.005652094110964,15.150000000000002,24.14631804282648,999.0,False,True,False,True,0.0,-7.969999999999999,0.0,1,1,False,blocked_by_front
8,0.8,16.19000000000001,20.100000000000005,1,39.504297585959264,11.77979543132781,0,30.787983869799525,16.02331775688553,1,14.597983869799517,15.050000000000002,23.314297585959256,999.0,False,True,False,False,-2.0,-8.389999999999999,-2.0,0,0,False,blocked_by_front
9,0.9,18.18000000000001,19.900000000000006,1,40.681450177115714,11.771525911564524,0,32.39090254377253,16.029186739730104,1,14.210902543772523,14.950000000000003,22.501450177115704,999.0,False,True,False,False,-2.0,-8.41,-2.0,0,0,False,blocked_by_front
10,1.0,20.150000000000013,19.700000000000006,1,41.85500663765812,11.735564605424047,0,33.99080223263639,15.998996888638592,1,13.840802232636378,14.850000000000003,21.70500663765811,999.0,False,True,False,False,-2.0,-8.43,-2.0,0,0,False,blocked_by_front
11,1.1,22.100000000000012,19.500000000000007,1,43.031570543887284,11.765639062291601,0,35.595384537257445,16.045823046210533,1,13.495384537257433,14.750000000000004,20.931570543887272,999.0,False,True,False,False,-2.0,-8.45,-2.0,0,0,False,blocked_by_front
12,1.2000000000000002,24.030000000000012,19.300000000000008,1,44.20626869189804,11.746981480107525,0,37.20189006803519,16.065055307777463,1,13.171890068035179,14.650000000000004,20.176268691898027,999.0,False,True,False,False,-2.0,-8.469999999999999,-2.0,0,0,False,blocked_by_front
13,1.3,25.940000000000012,19.10000000000001,1,45.38473073143175,11.784620395337129,0,38.812341665447974,16.10451597412785,1,12.872341665447962,14.550000000000004,19.44473073143174,999.0,False,True,False,False,-2.0,-8.49,-2.0,0,0,False,blocked_by_front
