step,time,x_ego,v_ego,lane_ego,x_slow,v_slow,lane_slow,x_side,v_side,lane_side,distance_front,safe_distance,front_gap_target,rear_gap_target,collision,safety_violation,unsafe_lane_change_attempt,lane_change_executed,a_ego,reward,a_nom,lane_cmd_nom,lane_cmd,use_safety_filter,scenario
1,0.1,2.0100000000000002,20.1,0,31.199170220047026,11.991702200470257,0,19.602203244934422,16.022032449344216,1,29.189170220047025,15.05,17.59220324493442,999.0,False,False,False,False,1.0,1.9100000000000001,1.0,0,0,True,blocked_by_front
2,0.2,4.030000000000001,20.200000000000003,0,32.39334158384223,11.941713637951992,0,21.202429815595163,16.0022657066074,1,28.363341583842228,15.100000000000001,17.172429815595162,999.0,False,False,False,False,1.0,1.9200000000000004,1.0,0,0,True,blocked_by_front
3,0.30000000000000004,6.060000000000002,20.300000000000004,0,33.5839805065456,11.906389227033703,0,22.798579772203592,15.96149956608428,1,27.5239805065456,15.150000000000002,16.73857977220359,999.0,False,False,False,False,1.0,1.9300000000000006,1.0,0,0,True,blocked_by_front
4,0.4,8.090000000000003,20.300000000000004,0,34.771482031362744,11.87501524817147,0,24.39318533608245,15.946055638788584,1,26.68148203136274,15.150000000000002,16.303185336082446,999.0,False,False,False,False,0.0,2.0300000000000007,0.0,0,0,True,blocked_by_front
5,0.5,10.120000000000005,20.300000000000004,0,35.9579512309222,11.864691995594537,0,25.988179067301342,15.94993731218892,1,25.837951230922194,15.150000000000002,15.868179067301337,999.0,False,False,False,False,0.0,2.0300000000000007,0.0,0,0,True,blocked_by_front
6,0.6000000000000001,12.150000000000006,20.300000000000004,0,37.143612375625686,11.856611447034867,0,27.5850249935242,15.968459262228595,1,24.99361237562568,15.150000000000002,15.435024993524195,999.0,False,False,False,False,0.0,2.0300000000000007,0.0,0,0,True,blocked_by_front
7,0.7000000000000001,14.180000000000007,20.300000000000004,1,38.326318042826486,11.827056672008018,0,29.18565209411097,16.00627100586769,1,15.005652094110964,15.150000000000002,24.14631804282648,999.0,False,True,False,True,0.0,-7.969999999999999,0.0,1,1,True,blocked_by_front
8,0.8,16.185000000000006,20.050000000000004,1,39.504297585959264,11.77979543132781,0,30.787983869799525,16.02331775688553,1,14.60298386979952,15.025000000000002,23.31929758595926,999.0,False,True,False,False,-2.5,-8.62,-2.0,0,0,True,blocked_by_front
9,0.9,18.165000000000006,19.800000000000004,1,40.681450177115714,11.771525911564524,0,32.39090254377253,16.029186739730104,1,14.225902543772527,14.900000000000002,22.516450177115708,999.0,False,True,False,False,-2.5,-8.645,-2.0,0,0,True,blocked_by_front
10,1.0,20.120000000000008,19.550000000000004,1,41.85500663765812,11.735564605424047,0,33.99080223263639,15.998996888638592,1,13.870802232636382,14.775000000000002,21.735006637658113,999.0,False,True,False,False,-2.5,-8.67,-2.0,0,0,True,blocked_by_front
