collision,num_safety_violations,min_distance,mean_speed,total_reward,seed,method
False,0,18.30380920189937,11.269333333333362,305.5800000000009,0,Baseline
False,0,15.519721043814059,9.620666666666699,238.32000000000096,1,Baseline
False,0,17.06264113280531,11.6976666666667,302.230000000001,2,Baseline
False,0,16.814523109980513,11.190666666666695,287.2200000000009,3,Baseline
False,0,18.37061487893773,12.781666666666696,349.75000000000097,4,Baseline
False,0,17.913681653917216,10.918666666666695,287.56000000000085,5,Baseline
False,0,17.829090107032187,10.882666666666694,292.98000000000087,6,Baseline
False,0,15.00081454252961,10.98833333333336,284.55000000000086,7,Baseline
False,0,17.526324622654982,11.35633333333336,298.0900000000008,8,Baseline
False,0,14.770822545456554,11.554333333333366,284.130000000001,9,Baseline
False,0,16.944261480564364,9.916000000000029,257.3800000000009,10,Baseline
False,0,11.335735677678883,11.996666666666705,297.0000000000012,11,Baseline
False,0,15.877450863545391,11.194000000000027,285.5200000000009,12,Baseline
False,0,16.577525991060128,8.125666666666696,191.57000000000087,13,Baseline
False,0,17.696901063662608,12.229000000000026,328.77000000000083,14,Baseline
False,0,13.447087886407246,9.671000000000028,221.9300000000008,15,Baseline
False,0,15.977540848506578,9.598000000000026,229.14000000000078,16,Baseline
False,0,16.961671317533785,13.646000000000045,360.6800000000014,17,Baseline
False,0,18.845686810872238,12.642666666666692,353.6800000000008,18,Baseline
False,0,14.567042118935433,9.643666666666691,232.01000000000073,19,Baseline
False,0,18.30380920189937,11.269333333333362,305.5800000000009,0,CBF
False,0,15.519721043814059,9.620666666666699,238.32000000000096,1,CBF
False,0,17.06264113280531,11.6976666666667,302.230000000001,2,CBF
False,0,16.814523109980513,11.190666666666695,287.2200000000009,3,CBF
False,0,18.37061487893773,12.781666666666696,349.75000000000097,4,CBF
False,0,17.913681653917216,10.918666666666695,287.56000000000085,5,CBF
False,0,17.829090107032187,10.882666666666694,292.98000000000087,6,CBF
False,0,15.00081454252961,10.98833333333336,284.55000000000086,7,CBF
False,0,17.526324622654982,11.35633333333336,298.0900000000008,8,CBF
False,0,14.770822545456554,11.554333333333366,284.130000000001,9,CBF
False,0,16.944261480564364,9.916000000000029,257.3800000000009,10,CBF
False,0,11.335735677678883,11.996666666666705,297.0000000000012,11,CBF
False,0,15.877450863545391,11.194000000000027,285.5200000000009,12,CBF
False,0,16.577525991060128,8.125666666666696,191.57000000000087,13,CBF
False,0,17.696901063662608,12.229000000000026,328.77000000000083,14,CBF
False,0,13.447087886407246,9.671000000000028,221.9300000000008,15,CBF
False,0,15.977540848506578,9.598000000000026,229.14000000000078,16,CBF
False,0,16.961671317533785,13.646000000000045,360.6800000000014,17,CBF
False,0,18.845686810872238,12.642666666666692,353.6800000000008,18,CBF
False,0,14.567042118935433,9.643666666666691,232.01000000000073,19,CBF
