collision,num_safety_violations,min_distance,mean_speed,total_reward,seed,method
False,0,11.771193030783138,13.522666666666737,344.4800000000021,0,Baseline
False,18,12.324771460007241,12.587000000000058,134.51000000000172,1,Baseline
False,0,14.83631823402483,13.432666666666721,349.2800000000017,2,Baseline
False,0,13.564724283014158,13.264000000000054,340.7200000000016,3,Baseline
False,0,14.874840734980424,14.553666666666725,383.21000000000174,4,Baseline
False,26,11.428403076016494,12.844000000000062,62.020000000001886,5,Baseline
False,0,16.288035811438917,14.065333333333392,370.96000000000186,6,Baseline
False,0,14.95546796334952,13.193666666666719,339.91000000000156,7,Baseline
False,18,11.1106035337707,12.472333333333395,130.27000000000186,8,Baseline
False,0,14.34723559655201,14.181000000000065,371.6300000000019,9,Baseline
False,17,11.5516751365534,12.079666666666721,129.19000000000162,10,Baseline
False,21,11.609822168124936,13.101666666666729,122.05000000000189,11,Baseline
False,0,14.022025177079016,14.344333333333395,376.1300000000018,12,Baseline
False,40,9.43550627807042,11.594333333333385,-118.26999999999838,13,Baseline
False,0,14.295186704684795,14.687666666666727,384.33000000000186,14,Baseline
False,28,11.315945172276614,12.428333333333384,32.25000000000159,15,Baseline
False,0,12.984525421861576,13.180333333333392,337.91000000000184,16,Baseline
False,17,11.79888854181877,14.953666666666752,218.21000000000257,17,Baseline
False,20,11.03191838361397,14.465000000000082,173.35000000000247,18,Baseline
False,0,14.489786655983451,12.554000000000054,322.6200000000016,19,Baseline
False,0,12.512956436882348,13.5933333333334,347.70000000000203,0,CBF
False,9,13.184257695481008,12.817500000000047,233.90000000000143,1,CBF
False,0,15.312515246017867,13.401666666666717,348.2500000000015,2,CBF
False,0,14.086905480694313,13.284666666666716,340.0400000000015,3,CBF
False,0,15.114840734980419,14.583666666666726,383.6100000000018,4,CBF
False,14,12.5850362978113,13.117166666666716,193.06500000000145,5,CBF
False,0,16.726272879918795,14.033333333333388,374.5000000000017,6,CBF
False,0,13.385467963349356,13.246000000000048,341.1800000000015,7,CBF
False,4,12.296575394438548,12.678000000000056,278.7400000000017,8,CBF
False,0,14.256552889521743,14.152666666666727,370.48000000000184,9,CBF
False,0,12.973350259658957,12.18200000000005,304.06000000000154,10,CBF
False,17,11.028295823749033,13.126333333333386,160.06500000000162,11,CBF
False,0,14.5569635593789,14.373666666666725,376.71000000000174,12,CBF
False,21,9.915768094815746,11.643833333333374,71.59000000000127,13,CBF
False,0,13.855186704684797,14.70233333333339,384.2700000000018,14,CBF
False,15,12.556280206304407,12.695666666666703,169.39500000000115,15,CBF
False,0,13.365198804713657,13.244333333333394,339.9300000000018,16,CBF
False,0,12.74184294777666,15.050666666666748,393.2200000000024,17,CBF
False,4,12.144928053092428,14.592666666666743,338.3800000000023,18,CBF
False,0,15.010618824204158,12.551666666666717,330.75000000000153,19,CBF
