collision,num_safety_violations,unsafe_lane_change_attempts,lane_change_executed,final_lane,min_distance_front,mean_speed,total_reward,method,scenario,seed
False,71,38,False,0,2.471707114802882,12.817000000000034,-572.9899999999991,Baseline,blocked_by_rear,0
True,33,39,False,0,1.9201606307253343,17.235294117647072,-552.9999999999999,Baseline,blocked_by_rear,1
False,72,38,False,0,2.3642996539788896,12.637000000000032,-588.3899999999991,Baseline,blocked_by_rear,2
False,69,38,False,0,2.4338311055757487,12.646000000000031,-558.2199999999989,Baseline,blocked_by_rear,3
False,64,37,False,0,3.2879765121391955,13.114000000000033,-487.279999999999,Baseline,blocked_by_rear,4
False,73,37,False,0,2.8798064251786,12.722333333333365,-592.029999999999,Baseline,blocked_by_rear,5
False,68,37,False,0,2.895895161857169,12.67600000000003,-541.6199999999991,Baseline,blocked_by_rear,6
False,67,38,False,0,2.343551377933082,12.727000000000032,-534.1899999999991,Baseline,blocked_by_rear,7
False,70,38,False,0,2.074813200266348,12.611333333333365,-568.459999999999,Baseline,blocked_by_rear,8
False,75,37,False,0,3.775443706010506,12.964000000000032,-605.379999999999,Baseline,blocked_by_rear,9
False,73,38,False,0,2.20969913336576,12.351666666666697,-607.4499999999991,Baseline,blocked_by_rear,10
True,32,39,False,0,1.9404919433547008,17.482000000000014,-542.6899999999998,Baseline,blocked_by_rear,11
True,32,39,False,0,1.9370502375532226,17.388235294117663,-541.8199999999999,Baseline,blocked_by_rear,12
False,77,38,False,0,2.299559313196511,12.381333333333364,-647.8599999999991,Baseline,blocked_by_rear,13
False,68,38,False,0,3.0221960491499686,12.812000000000031,-542.1399999999991,Baseline,blocked_by_rear,14
True,31,39,False,0,1.9370253236579487,17.482000000000014,-532.6899999999998,Baseline,blocked_by_rear,15
True,33,39,False,0,1.9375227508523665,17.388235294117663,-551.8199999999999,Baseline,blocked_by_rear,16
False,70,37,False,0,2.684748020578226,12.9746666666667,-552.559999999999,Baseline,blocked_by_rear,17
False,72,38,False,0,2.5817013217454132,12.720333333333365,-585.9899999999991,Baseline,blocked_by_rear,18
False,73,37,False,0,2.7045093050980853,12.44000000000003,-601.0999999999989,Baseline,blocked_by_rear,19
False,67,37,False,0,2.824138208655569,13.197333333333367,-515.279999999999,Baseline,blocked_by_rear,20
False,68,36,False,0,3.535831316599044,13.146000000000035,-522.8199999999989,Baseline,blocked_by_rear,21
False,73,38,False,0,3.088039949980285,12.833333333333366,-593.599999999999,Baseline,blocked_by_rear,22
False,76,38,False,0,2.608362569286925,12.457666666666698,-635.7699999999991,Baseline,blocked_by_rear,23
False,81,35,False,0,4.510238424180628,13.452000000000035,-642.0399999999989,Baseline,blocked_by_rear,24
True,30,40,False,0,1.8905944054311732,17.57551020408165,-528.5799999999999,Baseline,blocked_by_rear,25
False,75,37,False,0,3.3638898215458966,12.998000000000031,-603.559999999999,Baseline,blocked_by_rear,26
False,70,37,False,0,2.990189515734926,13.222000000000035,-545.2399999999991,Baseline,blocked_by_rear,27
False,74,37,False,0,3.247846947907263,12.822666666666697,-598.8199999999991,Baseline,blocked_by_rear,28
False,77,38,False,0,2.188540382933482,12.593666666666698,-641.289999999999,Baseline,blocked_by_rear,29
False,63,38,False,0,2.6603284214473035,12.581000000000031,-497.66999999999905,Baseline,blocked_by_rear,30
True,32,39,False,0,1.91971453624285,17.235294117647072,-542.9999999999999,Baseline,blocked_by_rear,31
False,68,39,False,0,2.1785385791756084,12.421666666666697,-559.049999999999,Baseline,blocked_by_rear,32
False,69,37,False,0,2.927733738492293,13.234000000000032,-534.4799999999991,Baseline,blocked_by_rear,33
False,79,37,False,0,3.2683782609879017,12.858000000000033,-649.359999999999,Baseline,blocked_by_rear,34
False,69,38,False,0,2.917120612341023,12.965666666666698,-547.7299999999991,Baseline,blocked_by_rear,35
False,73,38,False,0,2.5893182105559873,12.874333333333364,-591.669999999999,Baseline,blocked_by_rear,36
False,79,37,False,0,2.8338009856470876,12.865666666666698,-648.6299999999991,Baseline,blocked_by_rear,37
True,34,39,False,0,1.9774174603659134,17.200000000000017,-560.1399999999999,Baseline,blocked_by_rear,38
False,70,37,False,0,3.0094496637703116,12.997000000000032,-552.589999999999,Baseline,blocked_by_rear,39
False,81,38,False,0,2.7440138920400443,12.408666666666697,-688.6399999999991,Baseline,blocked_by_rear,40
True,32,39,False,0,1.9319850856301883,17.482000000000014,-542.6899999999998,Baseline,blocked_by_rear,41
