collision,num_safety_violations,unsafe_lane_change_attempts,lane_change_executed,final_lane,min_distance_front,mean_speed,total_reward,method,scenario,seed
False,71,0,False,0,2.471707114802882,12.817000000000034,-382.98999999999904,Baseline,safe_overtake,0
True,33,0,False,0,1.9201606307253343,17.235294117647072,-357.99999999999994,Baseline,safe_overtake,1
False,72,0,False,0,2.3642996539788896,12.637000000000032,-398.3899999999991,Baseline,safe_overtake,2
False,69,0,False,0,2.4338311055757487,12.646000000000031,-368.21999999999906,Baseline,safe_overtake,3
False,64,0,False,0,3.2879765121391955,13.114000000000033,-302.27999999999906,Baseline,safe_overtake,4
False,73,0,False,0,2.8798064251786,12.722333333333365,-407.0299999999991,Baseline,safe_overtake,5
False,68,0,False,0,2.895895161857169,12.67600000000003,-356.6199999999991,Baseline,safe_overtake,6
False,67,0,False,0,2.343551377933082,12.727000000000032,-344.1899999999991,Baseline,safe_overtake,7
False,70,0,False,0,2.074813200266348,12.611333333333365,-378.45999999999907,Baseline,safe_overtake,8
False,75,0,False,0,3.775443706010506,12.964000000000032,-420.3799999999991,Baseline,safe_overtake,9
False,73,0,False,0,2.20969913336576,12.351666666666697,-417.4499999999991,Baseline,safe_overtake,10
True,32,0,False,0,1.9404919433547008,17.482000000000014,-347.68999999999994,Baseline,safe_overtake,11
True,32,0,False,0,1.9370502375532226,17.388235294117663,-346.81999999999994,Baseline,safe_overtake,12
False,77,0,False,0,2.299559313196511,12.381333333333364,-457.8599999999991,Baseline,safe_overtake,13
False,68,0,False,0,3.0221960491499686,12.812000000000031,-352.139999999999,Baseline,safe_overtake,14
True,31,0,False,0,1.9370253236579487,17.482000000000014,-337.68999999999994,Baseline,safe_overtake,15
True,33,0,False,0,1.9375227508523665,17.388235294117663,-356.81999999999994,Baseline,safe_overtake,16
False,70,0,False,0,2.684748020578226,12.9746666666667,-367.55999999999904,Baseline,safe_overtake,17
False,72,0,False,0,2.5817013217454132,12.720333333333365,-395.98999999999904,Baseline,safe_overtake,18
False,73,0,False,0,2.7045093050980853,12.44000000000003,-416.0999999999991,Baseline,safe_overtake,19
False,67,0,False,0,2.824138208655569,13.197333333333367,-330.279999999999,Baseline,safe_overtake,20
False,68,0,False,0,3.535831316599044,13.146000000000035,-342.819999999999,Baseline,safe_overtake,21
False,73,0,False,0,3.088039949980285,12.833333333333366,-403.59999999999906,Baseline,safe_overtake,22
False,76,0,False,0,2.608362569286925,12.457666666666698,-445.7699999999991,Baseline,safe_overtake,23
False,81,0,False,0,4.510238424180628,13.452000000000035,-467.03999999999894,Baseline,safe_overtake,24
True,30,0,False,0,1.8905944054311732,17.57551020408165,-328.5799999999999,Baseline,safe_overtake,25
False,75,0,False,0,3.3638898215458966,12.998000000000031,-418.55999999999904,Baseline,safe_overtake,26
False,70,0,False,0,2.990189515734926,13.222000000000035,-360.239999999999,Baseline,safe_overtake,27
False,74,0,False,0,3.247846947907263,12.822666666666697,-413.819999999999,Baseline,safe_overtake,28
False,77,0,False,0,2.188540382933482,12.593666666666698,-451.28999999999905,Baseline,safe_overtake,29
False,63,0,False,0,2.6603284214473035,12.581000000000031,-307.66999999999905,Baseline,safe_overtake,30
True,32,0,False,0,1.91971453624285,17.235294117647072,-347.99999999999994,Baseline,safe_overtake,31
False,68,0,False,0,2.1785385791756084,12.421666666666697,-364.0499999999991,Baseline,safe_overtake,32
False,69,0,False,0,2.927733738492293,13.234000000000032,-349.479999999999,Baseline,safe_overtake,33
False,79,0,False,0,3.2683782609879017,12.858000000000033,-464.3599999999991,Baseline,safe_overtake,34
