step,time,x_ego,v_ego,lane_ego,x_slow,v_slow,lane_slow,x_side,v_side,lane_side,distance_front,safe_distance,front_gap_target,rear_gap_target,collision,safety_violation,unsafe_lane_change_attempt,lane_change_executed,a_ego,reward,a_nom,lane_cmd_nom,lane_cmd,use_safety_filter,scenario
1,0.1,2.0100000000000002,20.1,0,31.199170220047026,11.991702200470257,0,9.602203244934422,16.022032449344216,1,29.189170220047025,15.05,7.592203244934423,999.0,False,False,False,False,1.0,1.9100000000000001,1.0,0,0,True,blocked_by_front
2,0.2,4.030000000000001,20.200000000000003,0,32.39334158384223,11.941713637951992,0,11.202429815595163,16.0022657066074,1,28.363341583842228,15.100000000000001,7.172429815595162,999.0,False,False,False,False,1.0,1.9200000000000004,1.0,0,0,True,blocked_by_front
3,0.30000000000000004,6.060000000000002,20.300000000000004,0,33.5839805065456,11.906389227033703,0,12.798579772203592,15.96149956608428,1,27.5239805065456,15.150000000000002,6.73857977220359,999.0,False,False,False,False,1.0,1.9300000000000006,1.0,0,0,True,blocked_by_front
4,0.4,8.090000000000003,20.300000000000004,0,34.771482031362744,11.87501524817147,0,14.39318533608245,15.946055638788584,1,26.68148203136274,15.150000000000002,6.303185336082446,999.0,False,False,False,False,0.0,2.0300000000000007,0.0,0,0,True,blocked_by_front
5,0.5,10.120000000000005,20.300000000000004,0,35.9579512309222,11.864691995594537,0,15.988179067301342,15.94993731218892,1,25.837951230922194,15.150000000000002,5.868179067301337,999.0,False,False,False,False,0.0,2.0300000000000007,0.0,0,0,True,blocked_by_front
6,0.6000000000000001,12.150000000000006,20.300000000000004,0,37.143612375625686,11.856611447034867,0,17.5850249935242,15.968459262228595,1,24.99361237562568,15.150000000000002,5.435024993524195,999.0,False,False,False,False,0.0,2.0300000000000007,0.0,0,0,True,blocked_by_front
7,0.7000000000000001,14.180000000000007,20.300000000000004,0,38.326318042826486,11.827056672008018,0,19.18565209411097,16.00627100586769,1,24.14631804282648,15.150000000000002,5.005652094110964,999.0,False,False,False,False,0.0,2.0300000000000007,0.0,1,0,True,blocked_by_front
8,0.8,16.210000000000008,20.300000000000004,0,39.504297585959264,11.77979543132781,0,20.787983869799525,16.02331775688553,1,23.294297585959256,15.150000000000002,4.577983869799517,999.0,False,False,False,False,0.0,2.0300000000000007,0.0,1,0,True,blocked_by_front
9,0.9,18.24000000000001,20.300000000000004,0,40.681450177115714,11.771525911564524,0,22.390902543772537,16.029186739730104,1,22.441450177115705,15.150000000000002,4.150902543772528,999.0,False,False,False,False,0.0,2.0300000000000007,0.0,1,0,True,blocked_by_front
10,1.0,20.27000000000001,20.300000000000004,0,41.85500663765812,11.735564605424047,0,23.990802232636398,15.998996888638592,1,21.58500663765811,15.150000000000002,3.7208022326363874,999.0,False,False,False,False,0.0,2.0300000000000007,0.0,1,0,True,blocked_by_front
11,1.1,22.30000000000001,20.300000000000004,0,43.031570543887284,11.765639062291601,0,25.595384537257452,16.045823046210533,1,20.731570543887273,15.150000000000002,3.2953845372574406,999.0,False,False,False,False,0.0,2.0300000000000007,0.0,1,0,True,blocked_by_front
12,1.2000000000000002,24.330000000000013,20.300000000000004,0,44.20626869189804,11.746981480107525,0,27.201890068035198,16.065055307777463,1,19.876268691898026,15.150000000000002,2.871890068035185,999.0,False,False,False,False,0.0,2.0300000000000007,0.0,1,0,True,blocked_by_front
13,1.3,26.340000000000014,20.100000000000005,0,45.38473073143175,11.784620395337129,0,28.81234166544798,16.10451597412785,1,19.044730731431738,15.050000000000002,2.472341665447967,999.0,False,False,False,False,-2.0,1.6100000000000008,-2.0,1,0,True,blocked_by_front
14,1.4000000000000001,28.330000000000016,19.900000000000006,0,46.559043213079164,11.743124816474106,0,30.418183810693094,16.05842145245114,1,18.229043213079148,14.950000000000003,2.088183810693078,999.0,False,False,False,False,-2.0,1.5900000000000007,-2.0,1,0,True,blocked_by_front
15,1.5,30.30000000000002,19.700000000000006,0,47.73005399892222,11.710107858430563,0,32.027807380972504,16.09623570279408,1,17.430053998922205,14.850000000000003,1.7278073809724859,999.0,False,False,False,False,-2.0,1.5700000000000007,-2.0,1,0,True,blocked_by_front
16,1.6,32.25000000000002,19.500000000000007,0,48.89704825310361,11.669942541813867,0,33.63664202750196,16.088346465294585,1,16.64704825310359,14.750000000000004,1.3866420275019422,999.0,False,False,False,False,-2.0,1.5500000000000007,-2.0,1,0,True,blocked_by_front
17,1.7000000000000002,34.18000000000002,19.300000000000008,0,50.0686214025865,11.715731494828917,0,35.24580832688115,16.091662993791886,1,15.88862140258648,14.650000000000004,1.0658083268811325,999.0,False,False,False,False,-2.0,1.5300000000000007,-2.0,1,0,True,blocked_by_front
