step,time,x_ego,v_ego,x_front,v_front,lane_front,x_cut_in,v_cut_in,lane_cut_in,front_type,front_id,distance_front,gap_to_v1,gap_to_v2,safe_distance,soft_barrier_distance,hard_barrier_distance,too_far,cut_in_happened,cut_in_active,cut_in_this_step,cut_in_left_this_step,cut_in_time,cut_in_leave_time,front_event_type,front_event_timer,cut_in_event_type,cut_in_event_timer,collision,safety_violation,reached_target,a_ego,a_front,a_cut_in,reward,a_nom,use_cbf,method,scenario
1,0.1,1.9660588018810294,19.660588018810294,33.91065168521486,17.074067507932718,0,12.822299020134654,17.756475674978596,1,front,1,31.94459288333383,31.94459288333383,10.856240218253625,19.382873322163753,19.382873322163753,12.950422215285665,False,False,False,False,False,,,normal,0,normal,0,False,False,False,-0.07499999999999973,0.7361000866333877,0.22696220893031938,1.584745740004795,-0.06492054462432861,True,PPO + CBF,normal
2,0.2,3.931367603762059,19.653088018810294,35.6286873670704,17.18035681855541,0,14.601167645971735,17.788686258370806,1,front,1,31.69731976330834,31.69731976330834,10.669800042209676,19.26458401154106,19.26458401154106,12.856765766787511,False,False,False,False,False,,,normal,0,normal,0,False,False,False,-0.07499999999999973,1.0628931062269058,0.3221058339221042,1.5891088341131185,-0.07254624366760254,True,PPO + CBF,normal
3,0.30000000000000004,5.896426405643088,19.650588018810293,37.35363632255831,17.249489554879123,0,16.389569514013992,17.88401868042256,1,front,1,31.45720991691522,31.45720991691522,10.493143108370905,19.191451275217347,19.191451275217347,12.798584577728539,False,False,False,False,False,,,normal,0,normal,0,False,False,False,-0.02499999999999991,0.691327363237124,0.9533242205175414,1.5954848747150383,-0.03068476915359497,True,PPO + CBF,normal
4,0.4,7.860985207524117,19.645588018810294,39.08991673970593,17.362804171476192,0,18.18071958390791,17.911500698939168,1,front,1,31.22893153218181,31.22893153218181,10.319734376383792,19.070136658620278,19.070136658620278,12.702182884450885,False,False,False,False,False,,,normal,0,normal,0,False,False,False,-0.04999999999999982,1.1331461659707092,0.27482018516608164,1.5992254441301101,-0.043529242277145386,True,PPO + CBF,normal
5,0.5,9.825544009405146,19.645588018810294,40.83183121163933,17.41914471933405,0,19.97145282220273,17.90733238294818,1,front,1,31.006287202234187,31.006287202234187,10.145908812797582,19.01379611076242,19.01379611076242,12.657110446164598,False,False,False,False,False,,,normal,0,normal,0,False,False,False,0.0,0.5634054785785665,-0.04168315990987853,1.6058256014321886,0.00639989972114563,True,PPO + CBF,normal
6,0.6000000000000001,11.789852811286176,19.643088018810293,42.587461292812264,17.556300811729297,0,21.763398335651456,17.919455134487286,1,front,1,30.79760848152609,30.79760848152609,9.97354552436528,18.87264001836717,18.87264001836717,12.544510572248399,False,False,False,False,False,,,normal,0,normal,0,False,False,False,-0.02499999999999991,1.3715609239524802,0.1212275153910769,1.6082543197744892,-0.013152241706848145,True,PPO + CBF,normal
7,0.7000000000000001,13.754661613167205,19.64808801881029,44.3554082126671,17.679469198548375,0,23.564650249418534,18.01251913767077,1,front,1,30.600746599499896,30.600746599499896,9.80998863625133,18.757471631548093,18.757471631548093,12.451725862793134,False,False,False,False,False,,,normal,0,normal,0,False,False,False,0.04999999999999982,1.2316838681907842,0.930640031834836,1.611994528020814,0.040355391800403595,True,PPO + CBF,normal
8,0.8,15.720220415048233,19.655588018810292,46.126867538159345,17.71459325492247,0,25.364735972077668,18.000857226591332,1,front,1,30.406647123111114,30.406647123111114,9.644515557029434,18.734347575174,18.734347575174,12.43225161769386,False,False,False,False,False,,,normal,0,normal,0,False,False,False,0.07500000000000018,0.35124056374095103,-0.11661911079437243,1.619528230794023,0.07474256306886673,True,PPO + CBF,normal
9,0.9,17.68627921692926,19.66058801881029,47.90230925559769,17.754417174383487,0,27.1672142011938,18.024782291161344,1,front,1,30.216030038668432,30.216030038668432,9.48093498426454,18.70252365571298,18.70252365571298,12.406142482125045,False,False,False,False,False,,,normal,0,normal,0,False,False,False,0.04999999999999982,0.39823919461018564,0.2392506457001068,1.6263364111344212,0.04819036275148392,True,PPO + CBF,normal
10,1.0,19.65258801881029,19.663088018810292,49.68594216577543,17.836329101777366,0,28.975791971886178,18.085777706923764,1,front,1,30.033354146965138,30.033354146965138,9.323203953075886,18.624611728319103,18.624611728319103,12.343487940209943,False,False,False,False,False,,,normal,0,normal,0,False,False,False,0.025000000000000355,0.8191192739387965,0.6099541576241923,1.630748986467976,0.027558937668800354,True,PPO + CBF,normal
